instant,season,yr,mnth,holiday,weekday,workingday,weathersit,atemp,windspeed,leaflets,price reduction,cnt
283,4.0,0,10,1,0,0,1,0.542925,0.03967464002121326,555,0,5117
407,1.0,1,2,0,2,0,3,0.210867,0.19691868072589477,917,0,2169
704,4.0,1,12,0,2,1,1,0.4690539999999999,0.13617098853520054,729,1,6606
605,3.0,1,8,0,4,1,1,0.654688,0.10686524455642511,786,0,6917
121,2.0,0,5,0,5,0,2,0.448204,0.09102174305329049,756,0,3351
646,4.0,1,10,0,5,0,2,0.419813,0.11525042142351735,706,0,3510
651,4.0,1,10,0,3,1,1,0.433071,0.17038937110716337,737,0,7282
335,4.0,0,12,0,5,1,1,0.305554,0.162496170102753,906,0,3727
69,2.0,0,3,0,0,1,3,0.385668,0.1838258889361607,779,0,623
609,3.0,1,8,0,1,1,1,0.6894,0.1327486891934399,620,0,7350
602,3.0,1,8,0,1,1,2,0.6471,0.06478516344249158,688,1,7582
86,2.0,0,3,0,3,0,2,0.250339,0.14226294954300667,549,0,1693
466,2.0,1,4,0,1,1,1,0.436233,0.17766578311103817,545,0,5918
7,1.0,0,1,0,4,1,2,0.208839,0.132867569684449,977,0,1510
105,2.0,0,4,1,5,0,1,0.441913,0.16581842403781374,527,1,3126
141,2.0,0,5,0,4,0,1,0.571975,0.10125616084883472,992,0,5805
487,2.0,1,5,0,6,1,2,0.577021,0.12495733725314515,555,0,5740
27,1.0,0,1,0,3,1,1,0.2197,0.09642971627089919,935,1,431
559,3.0,1,7,0,3,1,1,0.654683,0.11894493493315689,579,0,7446
709,4.0,1,12,0,0,0,2,0.390146,0.12615117596441455,869,0,3228
90,2.0,0,3,0,0,1,3,0.257575,0.16113881467584204,968,0,1685
35,1.0,0,2,0,1,1,2,0.2285869999999999,0.10625100773802477,559,1,1708
653,4.0,1,10,0,5,0,1,0.508204,0.19178051310440272,785,0,6639
416,1.0,1,2,1,4,0,1,0.273391,0.16724922154987348,893,0,3129
426,1.0,1,3,0,6,1,1,0.475371,0.166142639064665,777,0,4990
547,3.0,1,6,0,0,0,1,0.687508,0.12810515820266327,981,0,5687
271,4.0,0,9,0,4,1,2,0.575158,0.12015293427727304,577,0,3907
180,3.0,0,6,0,5,1,1,0.654688,0.1837987184609797,585,0,5225
387,1.0,1,1,0,6,0,2,0.16225,0.1511478966300968,651,0,1977
